year,median,max,min,mean
1543,33.939999,33.939999,33.939999,33.939999
1548,38.82,38.82,38.82,38.82
1553,39.59,39.59,39.59,39.59
1558,22.379999,22.379999,22.379999,22.379999
1563,36.66,36.66,36.66,36.66
1568,39.669998,39.669998,39.669998,39.669998
1573,41.060001,41.060001,41.060001,41.060001
1578,41.560001,41.560001,41.560001,41.560001
1583,42.700001,42.700001,42.700001,42.700001
1588,37.049999,37.049999,37.049999,37.049999
1593,38.049999,38.049999,38.049999,38.049999
1598,37.82,37.82,37.82,37.82
1603,38.529999,38.529999,38.529999,38.529999
1608,39.59,39.59,39.59,39.59
1613,36.790001,36.790001,36.790001,36.790001
1618,40.310001,40.310001,40.310001,40.310001
1623,33.389999,33.389999,33.389999,33.389999
1628,39.689999,39.689999,39.689999,39.689999
1633,39.720001,39.720001,39.720001,39.720001
1638,34.029999,34.029999,34.029999,34.029999
1643,36.32,36.32,36.32,36.32
1648,39.740002,39.740002,39.740002,39.740002
1653,39.139999,39.139999,39.139999,39.139999
1658,33.040001,33.040001,33.040001,33.040001
1663,33.27,33.27,33.27,33.27
1668,32.48,32.48,32.48,32.48
1673,37.41,37.41,37.41,37.41
1678,32.400002,32.400002,32.400002,32.400002
1683,31.27,31.27,31.27,31.27
1688,35.93,35.93,35.93,35.93
1693,36.349998,36.349998,36.349998,36.349998
1698,38.060001,38.060001,38.060001,38.060001
1703,38.470001,38.470001,38.470001,38.470001
1708,38.5,38.5,38.5,38.5
1713,36.889999,36.889999,36.889999,36.889999
1718,35.75,35.75,35.75,35.75
1723,35.490002,35.490002,35.490002,35.490002
1728,25.34,25.34,25.34,25.34
1733,36.34,36.34,36.34,36.34
1738,35.259998,35.259998,35.259998,35.259998
1743,34.27,34.27,34.27,34.27
1748,36.470001,36.470001,36.470001,36.470001
1751,38.369999,38.369999,38.369999,38.369999
1752,35.34,35.34,35.34,35.34
1753,39.7299995,39.77,39.689999,39.7299995
1754,37.43,37.43,37.43,37.43
1755,36.875,37.25,36.5,36.875
1756,36.18,36.18,36.18,36.18
1757,33.759998,33.759998,33.759998,33.759998
1758,35.494999,38.119999,32.869999,35.494999
1759,38.150002,38.150002,38.150002,38.150002
1760,39.66,39.66,39.66,39.66
1761,37.759998,37.759998,37.759998,37.759998
1762,32.419998,32.419998,32.419998,32.419998
1763,32.879999,35.369999,30.389999,32.879999
1764,36.240002,36.240002,36.240002,36.240002
1765,35.389999,35.93,34.849998,35.389999
1766,38.040001,38.040001,38.040001,38.040001
1767,38.16,38.16,38.16,38.16
1768,35.5900005,36.189999,34.990002,35.5900005
1769,34.650002,34.650002,34.650002,34.650002
1770,34.3,36.599998,26.4,31.85714257
1771,35.369999,35.369999,35.369999,35.369999
1772,27.68,27.68,27.68,27.68
1773,28.5249995,39.09,17.959999,28.5249995
1774,40.529999,40.529999,40.529999,40.529999
1775,38.09,39.349998,33,36.81333267
1776,41.470001,41.470001,41.470001,41.470001
1777,38.080002,38.080002,38.080002,38.080002
1778,36.620001,37.740002,35.5,36.620001
1779,32.759998,32.759998,32.759998,32.759998
1780,42.639999,42.639999,42.639999,42.639999
1781,37.759998,37.759998,37.759998,37.759998
1782,36.610001,36.610001,36.610001,36.610001
1783,34.7450005,35.810001,33.68,34.7450005
1784,31.4,31.4,31.4,31.4
1785,33.6149995,33.799999,33.43,33.6149995
1786,37.84,37.84,37.84,37.84
1787,40.220001,40.220001,40.220001,40.220001
1788,37.8649995,38.970001,36.759998,37.8649995
1789,31.17,31.17,31.17,31.17
1790,33.549999,33.549999,33.549999,33.549999
1791,38.400002,38.400002,38.400002,38.400002
1792,39.779999,39.779999,39.779999,39.779999
1793,38.754999,39.59,37.919998,38.754999
1794,40.360001,40.360001,40.360001,40.360001
1795,36.7749995,37.049999,36.5,36.7749995
1796,38.82,38.82,38.82,38.82
1797,40.310001,40.310001,40.310001,40.310001
1798,40.1100005,41.290001,38.93,40.1100005
1799,39.290001,39.290001,39.290001,39.290001
1800,32.130001,33.3,28.5,31.31000033
1801,36.849998,36.849998,36.849998,36.849998
1802,40.130001,40.130001,40.130001,40.130001
1803,40.1049995,40.189999,40.02,40.1049995
1804,39.650002,39.650002,39.650002,39.650002
1805,36.3999995,41,31.799999,36.3999995
1806,36.139999,36.139999,36.139999,36.139999
1807,38.720001,38.720001,38.720001,38.720001
1808,35.3550005,40.580002,30.129999,35.3550005
1809,26.860001,26.860001,26.860001,26.860001
1810,31.940001,31.940001,31.940001,31.940001
1811,34.540001,34.540001,34.540001,34.540001
1812,35.049999,35.049999,35.049999,35.049999
1813,38.8549995,41.25,36.459999,38.8549995
1814,38.549999,38.549999,38.549999,38.549999
1815,38.1049995,40.41,35.799999,38.1049995
1816,40.8899995,41.73,40.049999,40.8899995
1817,39.725,40.27,39.18,39.725
1818,39.98,40.84,38.549999,39.78999967
1819,37.1049995,37.279999,36.93,37.1049995
1820,37.415,40.209999,29,36.00999975
1821,38.9799995,39.84,38.119999,38.9799995
